recording,monkey,day,analysis,method,direction,f1
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_all_bands,1,0.15
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_all_bands,2,0.27450980392156865
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_all_bands,3,0.25
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_all_bands,4,0.24489795918367346
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_all_bands,5,0.16326530612244897
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_all_bands,6,0.27450980392156865
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_pca,1,0.05555555555555555
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_pca,2,0.3018867924528302
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_pca,3,0.22641509433962265
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_pca,4,0.12
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_pca,5,0.05
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_pca,6,0.17857142857142858
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_power_frequency,1,0.10810810810810811
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_power_frequency,2,0.23529411764705882
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_power_frequency,3,0.2553191489361702
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_power_frequency,4,0.20408163265306123
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_power_frequency,5,0.11764705882352941
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_long,torus_power_frequency,6,0.1509433962264151
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,all_bands,1,0.18181818181818182
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,all_bands,2,0.24489795918367346
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,all_bands,3,0.17391304347826086
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,all_bands,4,0.14634146341463414
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,all_bands,5,0.3
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,all_bands,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_frequency,1,0.225
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_frequency,2,0.12
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_frequency,3,0.0
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_frequency,4,0.17391304347826086
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_frequency,5,0.0
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_frequency,6,0.05555555555555555
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_power,1,0.05
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_power,2,0.2647058823529412
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_power,3,0.041666666666666664
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_power,4,0.05128205128205128
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_power,5,0.1702127659574468
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,peak_power,6,0.043478260869565216
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,power_frequency,1,0.15789473684210525
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,power_frequency,2,0.2545454545454545
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,power_frequency,3,0.08695652173913043
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,power_frequency,4,0.06060606060606061
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,power_frequency,5,0.0
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,power_frequency,6,0.0
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus,1,0.18181818181818182
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus,2,0.13953488372093023
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus,3,0.1276595744680851
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus,4,0.3076923076923077
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus,5,0.11764705882352941
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus,6,0.25
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus_all_bands,1,0.08333333333333333
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus_all_bands,2,0.13953488372093023
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,matched_short,torus_all_bands,3,0.2127659574468085
