analysis_level,analysis_label,monkey,session_id,lfp_uid,lfp_id,feature_role,feature_label,feature_set,selected_band,selected_band_label,f1
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14158669856837613
full_6_direction_lfps,Full 6-direction LFPs,M,o080523010-18,monkeyM_session-o080523010-18_lfp-4,4,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.15873160084596252
full_6_direction_lfps,Full 6-direction LFPs,M,o080523010-18,monkeyM_session-o080523010-18_lfp-4,4,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.13225584852343483
full_6_direction_lfps,Full 6-direction LFPs,M,o080523010-18,monkeyM_session-o080523010-18_lfp-4,4,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.10720390965062332
full_6_direction_lfps,Full 6-direction LFPs,M,o080523010-18,monkeyM_session-o080523010-18_lfp-8,8,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.21005152398341254
full_6_direction_lfps,Full 6-direction LFPs,M,o080523010-18,monkeyM_session-o080523010-18_lfp-8,8,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.17781855384027465
full_6_direction_lfps,Full 6-direction LFPs,M,o080523010-18,monkeyM_session-o080523010-18_lfp-8,8,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.17615800223346487
full_6_direction_lfps,Full 6-direction LFPs,M,o080527006-16,monkeyM_session-o080527006-16_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.13899883796879045
full_6_direction_lfps,Full 6-direction LFPs,M,o080527006-16,monkeyM_session-o080527006-16_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.13567866212477456
full_6_direction_lfps,Full 6-direction LFPs,M,o080527006-16,monkeyM_session-o080527006-16_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.12710075255955228
full_6_direction_lfps,Full 6-direction LFPs,M,o080527006-16,monkeyM_session-o080527006-16_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.2081152096325745
full_6_direction_lfps,Full 6-direction LFPs,M,o080527006-16,monkeyM_session-o080527006-16_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1515639924435471
full_6_direction_lfps,Full 6-direction LFPs,M,o080527006-16,monkeyM_session-o080527006-16_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1460106988942375
full_6_direction_lfps,Full 6-direction LFPs,M,o080528006-15,monkeyM_session-o080528006-15_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.15970344447747606
full_6_direction_lfps,Full 6-direction LFPs,M,o080528006-15,monkeyM_session-o080528006-15_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.16158486869895675
