recording,monkey,day,method,geometry_evaluable,true_direction,predicted_direction,fraction
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,4,4,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,4,5,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,4,6,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,5,1,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,5,2,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,5,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,5,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,5,5,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,5,6,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,6,1,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,6,2,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,6,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,6,4,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,6,5,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,6,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,1,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,1,2,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,1,3,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,1,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,1,5,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,1,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,2,1,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,2,2,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,2,3,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,2,4,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,2,5,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,2,6,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,3,1,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,3,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,3,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,3,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,3,5,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,3,6,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,4,1,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,4,2,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,4,3,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,4,4,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,4,5,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,4,6,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,5,1,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,5,2,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,5,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,5,4,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,5,5,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,5,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,6,1,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,6,2,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,6,3,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,6,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,6,5,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,6,6,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,1,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,1,2,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,1,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,1,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,1,5,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,1,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,2,1,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,2,2,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,2,3,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,2,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,2,5,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,2,6,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,3,1,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,3,2,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,3,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,3,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,3,5,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,3,6,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,4,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,4,2,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,4,3,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,4,4,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,4,5,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,4,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,5,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,5,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,5,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,5,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,5,5,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,5,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,6,1,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,6,2,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,6,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,6,4,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,6,5,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,6,6,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,1,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,1,2,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,1,3,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,1,4,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,1,5,0.375
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,1,6,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,2,1,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,2,2,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,2,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,2,4,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,2,5,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,2,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,3,1,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,3,2,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,3,3,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,3,4,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,3,5,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,3,6,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,4,1,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,4,2,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,4,3,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,4,4,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,4,5,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,4,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,5,1,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,5,2,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,5,3,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,5,4,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,5,5,0.4583333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,5,6,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,6,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,6,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,6,3,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,6,4,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,6,5,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_frequency,True,6,6,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,1,1,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,1,2,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,1,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,1,4,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,1,5,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,1,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,2,1,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,2,2,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,2,3,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,2,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,2,5,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,2,6,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,3,1,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,3,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,3,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,3,4,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,3,5,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,3,6,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,4,1,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,4,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,4,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,4,4,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,4,5,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,4,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,5,1,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,5,2,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,5,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,5,4,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,5,5,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,5,6,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,6,1,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,6,2,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,6,3,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,6,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,6,5,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,peak_power,True,6,6,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,1,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,1,2,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,1,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,1,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,1,5,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,1,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,2,1,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,2,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,2,3,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,2,4,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,2,5,0.375
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,2,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,3,1,0.2916666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,3,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,3,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,3,4,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,3,5,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,3,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,4,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,4,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,4,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,4,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,4,5,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,4,6,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,5,1,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,5,2,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,5,3,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,5,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,5,5,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,5,6,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,6,1,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,6,2,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,6,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,6,4,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,6,5,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,power_frequency,True,6,6,0.0
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,1,1,0.16666666666666666
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,1,2,0.08333333333333333
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,1,3,0.125
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,1,4,0.041666666666666664
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,1,5,0.2916666666666667
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,1,6,0.2916666666666667
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,2,1,0.125
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,2,2,0.25
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,2,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,2,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,2,5,0.25
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,2,6,0.125
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,3,1,0.16666666666666666
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,3,2,0.125
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,3,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,3,4,0.125
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,3,5,0.2916666666666667
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,3,6,0.125
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,4,1,0.125
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,4,2,0.20833333333333334
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,4,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,4,4,0.125
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,4,5,0.16666666666666666
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,4,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,5,1,0.08333333333333333
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,all_bands,True,5,2,0.08333333333333333
