recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,1,1,0.0005719475949466,6.410699638713464e-06,0.0189669858250742,5,15.365868591161227
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,1,10,0.6174571732196845,0.004309797528328,1.271277921695633,5,15.365868591161227
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,2,1,0.0012708270255896,1.4466255659894673e-05,0.0189669858250742,5,7.673833918101707
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,2,10,0.6694807271547022,0.004505911720684,1.271277921695633,5,7.673833918101707
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,5,1,0.00481686414365,5.948270033895172e-05,0.0189669858250742,5,3.0593865921602035
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,5,10,0.790344775447229,0.0046398869489423,1.271277921695633,5,3.0593865921602035
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,10,1,0.0133841101370942,0.0001960085268467,0.0189669858250742,5,1.561430430527464
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,10,10,0.8732884513421064,0.003661896291149,1.271277921695633,5,1.561430430527464
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,15,1,0.018624552850073,0.0002346681003867,0.0189669858250742,5,1.1797991476544107
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,15,10,0.8607024777803876,0.0051276710517351,1.271277921695633,5,1.1797991476544107
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,20,1,0.0187077007958096,0.0001485207204721,0.0189669858250742,5,1.14821403841037
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,20,10,0.8635533256437847,0.0045487062523063,1.271277921695633,5,1.14821403841037
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,25,1,0.0188685047841056,0.0001835764843062,0.0189669858250742,5,1.2305396043232129
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,25,10,0.8748811170344084,0.0044279238917872,1.271277921695633,5,1.2305396043232129
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,30,1,0.0188033415199819,0.0001806972331152,0.0189669858250742,5,1.2080831243699126
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,30,10,0.8757639889369309,0.0039526509345938,1.271277921695633,5,1.2080831243699126
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,40,1,0.0188965147024845,0.0001866623535502,0.0189669858250742,5,1.1281175872100406
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,40,10,0.863438220924819,0.0025700379835265,1.271277921695633,5,1.1281175872100406
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,50,1,0.0189254584558575,0.000194017256802,0.0189669858250742,5,1.192170775956226
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,50,10,0.8625694621129589,0.0051992282248573,1.271277921695633,5,1.192170775956226
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,75,1,0.0187652525931185,0.0001706019065647,0.0189669858250742,5,1.289973834857024
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,75,10,0.8735184934099044,0.0042563483742769,1.271277921695633,5,1.289973834857024
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,100,1,0.018901885613401,0.0001921212254063,0.0189669858250742,5,1.2004931936417111
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,2,100,10,0.8588424513000799,0.0043659944469357,1.271277921695633,5,1.2004931936417111
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,1,1,1.6739971703207993e-05,1.8437668819165538e-07,0.0189669858250742,5,183.7446311528652
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,1,10,0.2665256627811718,0.002640118335112,1.271277921695633,5,183.7446311528652
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,2,1,0.0001007157569867,1.056365093383452e-06,0.0189669858250742,5,45.234043408361465
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,2,10,0.3539717927607148,0.0033384209083774,1.271277921695633,5,45.234043408361465
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,5,1,0.0016271303440394,1.166708455142091e-05,0.0189669858250742,5,6.800084489041288
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,5,10,0.6099605197488598,0.0040857643639743,1.271277921695633,5,6.800084489041288
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,10,1,0.011485304426407,0.0001030965492649,0.0189669858250742,5,1.8731334415330227
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,10,10,0.8574762187378381,0.0036752389112576,1.271277921695633,5,1.8731334415330227
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,15,1,0.0185623674130925,0.0002206525986622,0.0189669858250742,5,1.2705773729898522
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,15,10,0.861952760187126,0.0047241388728554,1.271277921695633,5,1.2705773729898522
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,20,1,0.018713526729604,0.0001431126733717,0.0189669858250742,5,1.2283552743615678
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,20,10,0.8548025695438828,0.0031387669361356,1.271277921695633,5,1.2283552743615678
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,25,1,0.0188871065902982,0.0001878783569207,0.0189669858250742,5,1.3596624545640714
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,25,10,0.8624278863860223,0.0059837132378175,1.271277921695633,5,1.3596624545640714
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,30,1,0.0178520557964621,0.0001546503500305,0.0189669858250742,5,1.3693610674015997
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,30,10,0.8141465084061791,0.0045601019821782,1.271277921695633,5,1.3693610674015997
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,40,1,0.0188170283035606,0.0001963883690526,0.0189669858250742,5,1.3051435027937532
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,40,10,0.8577926425133569,0.0033055928554534,1.271277921695633,5,1.3051435027937532
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,50,1,0.018919735930906,0.0001953787725323,0.0189669858250742,5,1.3829997941937875
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,50,10,0.8509607272672216,0.0053144712901931,1.271277921695633,5,1.3829997941937875
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,75,1,0.0187725788230779,0.000178832778031,0.0189669858250742,5,1.4198032685116346
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,75,10,0.8676049913090622,0.0043284222066183,1.271277921695633,5,1.4198032685116346
monkeyM_session-o080416002-18_lfp-1,M,embedding,0,3,100,1,0.0188992264408356,0.0002023520894704,0.0189669858250742,5,1.29687053002718
