recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyM_session-o080416002-18_lfp-1,M,ar,1,0,1,1,0.0189023334461108,0.0001902575657187,0.0189669858250742,5,1.0000000000000004
monkeyM_session-o080416002-18_lfp-1,M,ar,1,0,1,10,1.1868697569109816,0.0115071835461008,1.271277921695633,5,1.0000000000000004
monkeyM_session-o080416002-18_lfp-1,M,ar,2,0,1,1,0.0005719475949466,6.410699638713464e-06,0.0189669858250742,5,15.365868591161227
monkeyM_session-o080416002-18_lfp-1,M,ar,2,0,1,10,0.8053727113553742,0.0082128798969294,1.271277921695633,5,15.365868591161227
monkeyM_session-o080416002-18_lfp-1,M,ar,3,0,1,1,1.673997170320795e-05,1.8437668819167224e-07,0.0189669858250742,5,183.7446311528652
monkeyM_session-o080416002-18_lfp-1,M,ar,3,0,1,10,0.3070930851301413,0.003747010439514,1.271277921695633,5,183.7446311528652
monkeyM_session-o080416002-18_lfp-1,M,ar,4,0,1,1,8.192292710358175e-07,8.239132232175529e-09,0.0189669858250742,5,2245.379917195178
monkeyM_session-o080416002-18_lfp-1,M,ar,4,0,1,10,0.1380552195164975,0.0011445446062486,1.271277921695633,5,2245.379917195178
monkeyM_session-o080416002-18_lfp-1,M,ar,5,0,1,1,4.853631763486026e-08,3.194132557868125e-10,0.0189669858250742,5,20733.057131840607
monkeyM_session-o080416002-18_lfp-1,M,ar,5,0,1,10,0.0548625655270035,0.000300483577306,1.271277921695633,5,20733.057131840607
monkeyM_session-o080416002-18_lfp-1,M,ar,6,0,1,1,3.499472081274685e-09,3.698009176895971e-11,0.0189669858250742,5,175080.65269425654
monkeyM_session-o080416002-18_lfp-1,M,ar,6,0,1,10,0.0208572606272137,0.0001896015402015,1.271277921695633,5,175080.65269425654
monkeyM_session-o080416002-18_lfp-1,M,ar,7,0,1,1,3.703907838986194e-10,5.649694543120862e-12,0.0189669858250742,5,1307186.008166105
monkeyM_session-o080416002-18_lfp-1,M,ar,7,0,1,10,0.0086213368813564,9.956222432747585e-05,1.271277921695633,5,1307186.008166105
monkeyM_session-o080416002-18_lfp-1,M,ar,8,0,1,1,7.454963220706061e-11,1.173247843392807e-12,0.0189669858250742,5,8167074.156401783
monkeyM_session-o080416002-18_lfp-1,M,ar,8,0,1,10,0.0047503353475215,6.371957826564631e-05,1.271277921695633,5,8167074.156401783
monkeyM_session-o080416002-18_lfp-1,M,ar,9,0,1,1,3.671353805505997e-11,4.861429768835155e-13,0.0189669858250742,5,34952521.47309091
monkeyM_session-o080416002-18_lfp-1,M,ar,9,0,1,10,0.0029700251858728,3.233672611898452e-05,1.271277921695633,5,34952521.47309091
monkeyM_session-o080416002-18_lfp-1,M,ar,10,0,1,1,3.6716205863414345e-11,4.775034264553172e-13,0.0189669858250742,5,89276505.5613233
monkeyM_session-o080416002-18_lfp-1,M,ar,10,0,1,10,0.0030565989630623,3.055792981653354e-05,1.271277921695633,5,89276505.5613233
monkeyM_session-o080416002-18_lfp-1,M,ar,11,0,1,1,2.8133455665561235e-11,3.6748839948063773e-13,0.0189669858250742,5,117715821.5014855
monkeyM_session-o080416002-18_lfp-1,M,ar,11,0,1,10,0.0027599784242816,3.3914225433343726e-05,1.271277921695633,5,117715821.5014855
