recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyT_session-y070130005-13_lfp-1,T,ar,1,0,1,1,0.0203196308127108,0.0001961534299675,0.0204073853086467,5,1.0000000000000002
monkeyT_session-y070130005-13_lfp-1,T,ar,1,0,1,10,1.382855164194974,0.0124724572749714,1.5034751855390622,5,1.0000000000000002
monkeyT_session-y070130005-13_lfp-1,T,ar,2,0,1,1,0.0003631625057766,4.01140085235912e-06,0.0204073853086467,5,14.560915965412738
monkeyT_session-y070130005-13_lfp-1,T,ar,2,0,1,10,0.5037457250040882,0.0048082687906461,1.5034751855390622,5,14.560915965412738
monkeyT_session-y070130005-13_lfp-1,T,ar,3,0,1,1,1.711198648454184e-05,3.047066011877327e-07,0.0204073853086467,5,229.93106465973904
monkeyT_session-y070130005-13_lfp-1,T,ar,3,0,1,10,0.3283463876945959,0.0046030239209974,1.5034751855390622,5,229.93106465973904
monkeyT_session-y070130005-13_lfp-1,T,ar,4,0,1,1,6.858379895484043e-07,8.328411000033556e-09,0.0204073853086467,5,2236.518899508256
monkeyT_session-y070130005-13_lfp-1,T,ar,4,0,1,10,0.1189072011408626,0.0010557329018033,1.5034751855390622,5,2236.518899508256
monkeyT_session-y070130005-13_lfp-1,T,ar,5,0,1,1,3.380818798150849e-08,3.1192096651236166e-10,0.0204073853086467,5,22767.889722918328
monkeyT_session-y070130005-13_lfp-1,T,ar,5,0,1,10,0.0380904184810536,0.000324515869461,1.5034751855390622,5,22767.889722918328
monkeyT_session-y070130005-13_lfp-1,T,ar,6,0,1,1,3.449816294473165e-09,2.8454154163396615e-11,0.0204073853086467,5,214191.12267701808
monkeyT_session-y070130005-13_lfp-1,T,ar,6,0,1,10,0.019589295416226,7.50623423071307e-05,1.5034751855390622,5,214191.12267701808
monkeyT_session-y070130005-13_lfp-1,T,ar,7,0,1,1,4.0100351965255853e-10,7.024338452116709e-12,0.0204073853086467,5,1326391.067440516
monkeyT_session-y070130005-13_lfp-1,T,ar,7,0,1,10,0.0081262956476347,0.0001258662537497,1.5034751855390622,5,1326391.067440516
monkeyT_session-y070130005-13_lfp-1,T,ar,8,0,1,1,9.296335452482496e-11,1.1243215048453408e-12,0.0204073853086467,5,7773616.664002885
monkeyT_session-y070130005-13_lfp-1,T,ar,8,0,1,10,0.0049637830960927,4.69891230042376e-05,1.5034751855390622,5,7773616.664002885
monkeyT_session-y070130005-13_lfp-1,T,ar,9,0,1,1,4.294672509117287e-11,2.9706092788598063e-13,0.0204073853086467,5,30919533.852024406
monkeyT_session-y070130005-13_lfp-1,T,ar,9,0,1,10,0.0032303690490646,2.8711211904474186e-05,1.5034751855390622,5,30919533.852024406
monkeyT_session-y070130005-13_lfp-1,T,ar,10,0,1,1,4.257431960157344e-11,3.1667637243248373e-13,0.0204073853086467,5,80516242.5762134
monkeyT_session-y070130005-13_lfp-1,T,ar,10,0,1,10,0.0031308941655311,2.3194716648878805e-05,1.5034751855390622,5,80516242.5762134
monkeyT_session-y070130005-13_lfp-1,T,ar,11,0,1,1,3.336665059302896e-11,2.7570475426414225e-13,0.0204073853086467,5,113797264.6293472
monkeyT_session-y070130005-13_lfp-1,T,ar,11,0,1,10,0.0029736406526443,2.242616768051333e-05,1.5034751855390622,5,113797264.6293472
monkeyT_session-y070130005-13_lfp-1,T,ar,12,0,1,1,3.0529535118078436e-11,2.3361457190832084e-13,0.0204073853086467,5,123734338.15194955
monkeyT_session-y070130005-13_lfp-1,T,ar,12,0,1,10,0.0026591057706651,2.254794048161869e-05,1.5034751855390622,5,123734338.15194955
monkeyT_session-y070130005-13_lfp-1,T,ar,13,0,1,1,2.9027509891984283e-11,3.035841153189756e-13,0.0204073853086467,5,127719886.3095874
monkeyT_session-y070130005-13_lfp-1,T,ar,13,0,1,10,0.0026891938122268,2.574360451913272e-05,1.5034751855390622,5,127719886.3095874
monkeyT_session-y070130005-13_lfp-1,T,ar,14,0,1,1,2.712871282553627e-11,2.872379695418799e-13,0.0204073853086467,5,130408079.07517491
monkeyT_session-y070130005-13_lfp-1,T,ar,14,0,1,10,0.0025520469784978,2.454819837307494e-05,1.5034751855390622,5,130408079.07517491
monkeyT_session-y070130005-13_lfp-1,T,ar,15,0,1,1,2.7111022693502244e-11,2.909586638591119e-13,0.0204073853086467,5,132537694.13934244
monkeyT_session-y070130005-13_lfp-1,T,ar,15,0,1,10,0.0025734261776387,2.471152367572133e-05,1.5034751855390622,5,132537694.13934244
monkeyT_session-y070130005-13_lfp-1,T,ar,16,0,1,1,2.6190913324485205e-11,2.852127382309941e-13,0.0204073853086467,5,134305555.3200765
monkeyT_session-y070130005-13_lfp-1,T,ar,16,0,1,10,0.0025113561422429,2.5614127349711382e-05,1.5034751855390622,5,134305555.3200765
monkeyT_session-y070130005-13_lfp-1,T,ar,17,0,1,1,2.6168685642541184e-11,2.868069402239966e-13,0.0204073853086467,5,135782579.61733547
monkeyT_session-y070130005-13_lfp-1,T,ar,17,0,1,10,0.0025076212869387,2.502714496926956e-05,1.5034751855390622,5,135782579.61733547
monkeyT_session-y070130005-13_lfp-1,T,ar,18,0,1,1,2.591700385936945e-11,2.8556230432418693e-13,0.0204073853086467,5,137168149.39379212
monkeyT_session-y070130005-13_lfp-1,T,ar,18,0,1,10,0.0025220196012318,2.528229192814308e-05,1.5034751855390622,5,137168149.39379212
monkeyT_session-y070130005-13_lfp-1,T,ar,19,0,1,1,2.561099537718925e-11,2.726760185619312e-13,0.0204073853086467,5,138694621.26644403
monkeyT_session-y070130005-13_lfp-1,T,ar,19,0,1,10,0.002480304527246,2.466668598172078e-05,1.5034751855390622,5,138694621.26644403
monkeyT_session-y070130005-13_lfp-1,T,ar,20,0,1,1,2.5457991836925455e-11,2.803478932233496e-13,0.0204073853086467,5,139617783.46166393
monkeyT_session-y070130005-13_lfp-1,T,ar,20,0,1,10,0.0024780846314678,2.519733408103137e-05,1.5034751855390622,5,139617783.46166393
