recording,monkey,day,method,permutation,macro_f1
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,0,0.1653718954729184
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,0,0.114910696712401
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,0,0.2151635401635402
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,0,0.2007500602526197
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,torus,0,0.1481206094827651
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,1,0.1042265606264865
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,1,0.1125339839974088
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,1,0.1313828445314294
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,1,0.1486050613559712
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,torus,1,0.1723970930848543
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,2,0.1160287440636916
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,2,0.1228659099298634
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,2,0.1654922414674736
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,2,0.1710660762454361
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,torus,2,0.143458135680347
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,3,0.1672937211809725
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,3,0.1522804213308915
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,3,0.1783612645731928
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,3,0.1196187302325409
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,torus,3,0.1519986936736687
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,4,0.1142887075032862
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,4,0.152054387086084
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,4,0.133929151992415
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,4,0.1522871375072633
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,torus,4,0.1829625074810665
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,5,0.1251784711089187
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,5,0.1459039367419826
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,5,0.1181057718954293
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,5,0.1027420112754311
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,torus,5,0.173784711434357
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,6,0.1411116952573813
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,6,0.1427193947685751
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,6,0.1600924659668018
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,6,0.1169154646446695
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,torus,6,0.1815042488129387
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,7,0.1911884947090757
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,7,0.1373409150823943
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,7,0.1879520159625671
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,7,0.1591832211254282
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,torus,7,0.1142488495449167
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,8,0.1103277329728801
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,8,0.1398299070953826
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,8,0.1708405219460662
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,8,0.1914028849456966
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,torus,8,0.1778871395905709
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,9,0.1106329390363602
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,9,0.1140464671349325
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,9,0.110705117664977
