recording,monkey,day,analysis,method,true_direction,predicted_direction,fraction
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,2,2,0.2258064516129032
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,2,3,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,2,4,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,2,5,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,2,6,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,3,1,0.2903225806451613
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,3,2,0.2903225806451613
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,3,3,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,3,4,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,3,5,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,3,6,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,4,1,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,4,2,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,4,3,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,4,4,0.3870967741935484
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,4,5,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,4,6,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,5,1,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,5,2,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,5,3,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,5,4,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,5,5,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,5,6,0.3225806451612903
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,6,1,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,6,2,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,6,3,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,6,4,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,6,5,0.2258064516129032
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,6,6,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,1,1,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,1,2,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,1,3,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,1,4,0.3225806451612903
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,1,5,0.0
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,1,6,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,2,1,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,2,2,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,2,3,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,2,4,0.2903225806451613
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,2,5,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,2,6,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,3,1,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,3,2,0.3225806451612903
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,3,3,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,3,4,0.3225806451612903
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,3,5,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,3,6,0.064516129032258
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,4,1,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,4,2,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,4,3,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,4,4,0.4838709677419355
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,4,5,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,4,6,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,5,1,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,5,2,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,5,3,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,5,4,0.3870967741935484
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,5,5,0.064516129032258
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,5,6,0.064516129032258
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,6,1,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,6,2,0.2258064516129032
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,6,3,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,6,4,0.4193548387096774
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,6,5,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_pca,6,6,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_power_frequency,1,1,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_power_frequency,1,2,0.2258064516129032
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_power_frequency,1,3,0.2258064516129032
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_power_frequency,1,4,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_power_frequency,1,5,0.064516129032258
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_power_frequency,1,6,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_power_frequency,2,1,0.1935483870967742
